id,genre,track_name,artist_name,popularity,valence,energy,danceability,acousticness,tempo,speechiness,mode,instrumentalness
7GILkDXz9y9x5KPHBKdrHA,acoustic,Spring för livet,Sara Varga,0,0.598,0.572,0.786,0.293,119.943,0.059,1,0.0
2xwsf9FuFINP1X4FTsqZ7Q,acoustic,Peace,O.A.R.,62,0.493,0.721,0.449,0.166,178.141,0.0392,1,0.0
4VJgrWjrkodaGiq3xKz62z,acoustic,Sometimes (I Wish),City and Colour,40,0.135,0.467,0.523,0.311,129.953,0.0281,0,2.01e-05
46XMysg4VurmyAQ28tshqz,acoustic,The Mess I Made,Parachute,47,0.173,0.591,0.405,0.0153,165.377,0.0339,1,0.0
25J4d78ESH2MgAJoIakB8O,acoustic,Lost In The Light,Bahamas,50,0.246,0.267,0.597,0.793,75.535,0.0309,1,0.0014
4jFSBOiJwJ9OmtB7SxHeWv,acoustic,Climax (feat. Ebony Day),ortoPilot,11,0.457,0.351,0.584,0.703,145.006,0.0426,1,0.0
4BBFEhlXWJhNvQYT8Ozqq9,acoustic,I Will Be Blessed,Ben Howard,0,0.336,0.345,0.368,0.719,153.824,0.028,0,0.016
4E6cwWJWZw2zWf7VFbH7wf,acoustic,Love Song,Sara Bareilles,74,0.573,0.786,0.583,0.0208,123.055,0.0301,0,0.0
1ZXSLHLp5AJnCp12UXdYiO,acoustic,Sex On Fire,Alex Cornell,51,0.0568,0.408,0.476,0.844,90.055,0.0305,1,0.111
6Fha6tXHkL3r9m9nNqQG8p,acoustic,Georgia,Vance Joy,63,0.401,0.66,0.388,0.312,143.554,0.0308,1,0.000307
5Szn0p3DlnawyuhX8ULCg4,acoustic,Orange Sky,Alexi Murdoch,0,0.125,0.15,0.685,0.797,124.956,0.039,1,0.0461
1j5cGcXWdHKTPQ2XgXODJI,acoustic,I'm Yours - Live on HSN Live,Jason Mraz,54,0.574,0.694,0.428,0.697,145.353,0.0978,1,0.0
2ihCaVdNZmnHZWt0fvAM7B,acoustic,Little Talks,Of Monsters and Men,81,0.417,0.757,0.457,0.0206,102.961,0.032,1,0.0
4Pl8ViAolRF4rK8QBMhKd9,acoustic,Redemption Song,Bob Marley & The Wailers,0,0.698,0.259,0.666,0.585,116.082,0.04,1,0.0
0ygAYQQy7bfDN6gH640bbl,acoustic,Wake Me Up,Ed Sheeran,57,0.336,0.209,0.616,0.902,86.891,0.406,1,0.0
2APaWLyP3drx0CIodMhKHd,acoustic,Hey Ya!,The Blanks,47,0.293,0.262,0.607,0.93,155.948,0.0378,0,0.0
4K3ysa6ySBu7p8lWx8bj6e,acoustic,When She Cries,Andy McKee,0,0.39,0.407,0.263,0.843,146.026,0.0365,1,0.843
7lWF2mVr1KKbVnaT2nSlPo,acoustic,Fall For You,Secondhand Serenade,62,0.382,0.442,0.387,0.19,169.481,0.0352,1,0.0
2wHkjpslGb2YOTlVYkmRiF,acoustic,Man Down,Walk Off the Earth,29,0.773,0.764,0.604,0.035,155.968,0.0468,0,3.03e-05
3LHg768dEKqJKht2uPTlVR,acoustic,Ghosts,Laura Marling,59,0.75,0.368,0.463,0.376,141.974,0.048,1,0.0
6QeLUyIfNHCJhEMSPGwDgi,acoustic,Hey Ya - solo version,Obadiah Parker,53,0.357,0.184,0.661,0.665,140.006,0.038,0,0.0
7utRJ4BeYx85khzP3lKoBX,acoustic,Tears in Heaven,Eric Clapton,63,0.312,0.242,0.498,0.835,153.744,0.0257,1,0.536
08kTO4EW0jb07zNsCNM83w,acoustic,Chariot,Gavin DeGraw,57,0.344,0.779,0.281,0.0437,167.172,0.0514,1,0.0
0GNI8K3VATWBABQFAzBAYe,acoustic,Stay,Rihanna,77,0.125,0.31,0.621,0.945,111.893,0.0283,0,6.12e-05
6G0MfBXF1QlLpgP8pKngzs,acoustic,Shoreline - Radio Version,Anna Ternheim,52,0.201,0.108,0.357,0.992,117.584,0.0363,1,0.000648
57BqpzkQWkCOxASHhNEZl0,afrobeat,Aon Aon,Tabu Ley Rochereau,0,0.714,0.358,0.674,0.954,113.629,0.0552,1,0.0544
2K15Edv21Uw9Cv5tBh8s9O,afrobeat,Bozos,Amadou & Mariam,0,0.935,0.774,0.693,0.328,110.001,0.0266,1,4.71e-06
4jvfzleLDS7kAcCzBurkQn,afrobeat,Clandestin,Fatoumata Diawara,0,0.522,0.319,0.506,0.787,86.357,0.0657,1,9.87e-05
4bi73jCM02fMpkI11Lqmfe,afrobeat,Ai Se Eu Te Pego - Live,Michel Teló,0,0.834,0.937,0.674,0.347,96.051,0.0699,1,0.0
5EXYS2lz8TVwwROz50EK85,afrobeat,Mariama Kaba,Boubacar Traoré,5,0.787,0.438,0.619,0.988,119.892,0.0344,1,0.119
4AdEId7iTSaADarHjqIXvT,afrobeat,Oualahila Ar Tesninam,Various Artists,0,0.752,0.698,0.762,0.446,119.997,0.0398,1,0.00297
03yoYeU67nezCH7d0kTagR,afrobeat,We Are One,Various Artists,0,0.264,0.501,0.551,0.321,81.674,0.0303,1,0.000262
4IFMYZUdavCtTraiqLSWue,afrobeat,KM Même Pas Fatigués,Khaled,0,0.914,0.748,0.775,0.2,126.91,0.161,0,0.0
0mkC0No5KP4Ff7HXL7tVhx,afrobeat,The River Tune,Bassekou Kouyate,17,0.778,0.447,0.842,0.547,97.332,0.0582,0,0.888
14BhrzVVp17v3miP1tlj8q,afrobeat,Chop & Quench (Jeun Ko Ku),Fela Kuti,0,0.613,0.686,0.774,0.347,106.376,0.0823,1,0.908
1PTGzgjNWP4upVlCp95I6i,afrobeat,Ara,Brymo,0,0.611,0.901,0.66,0.474,129.989,0.104,1,7.68e-05
3Iej4BiqBDErpY2Nuz7GwJ,afrobeat,Neng Makassi,Sam Fan Thomas,0,0.872,0.932,0.776,0.0777,124.876,0.0752,0,2.93e-05
0zwL0IxW2DWeXtfN8PmlzV,afrobeat,Imidiwan Win Sahara,Tinariwen,0,0.826,0.68,0.734,0.729,94.62,0.0386,0,0.00714
5OprIO7jAo89hAeX5lpI2w,afrobeat,Yoruba,King Sunny Ade,22,0.963,0.544,0.629,0.52,118.925,0.0557,0,0.0208
2lnzGkdtDj5mtlcOW2yRtG,afrobeat,"Whenever, Wherever",Shakira,74,0.871,0.832,0.794,0.237,107.657,0.0407,0,1.14e-05
4AVIdds2A4E4UsZcVU0Uso,afrobeat,I Wish You Were Here,Alpha Blondy,0,0.58,0.566,0.796,0.02,143.994,0.0695,1,0.0181
7MJGB3W6xlzhuYLHcazBmy,afrobeat,Yori Yori,Various Artists,0,0.901,0.842,0.666,0.371,107.989,0.0804,1,0.0
5J4qCKoXwuIBE9iG6KYiOb,afrobeat,Fa - Laay - Fanaan,Baaba Maal,22,0.964,0.904,0.825,0.683,135.184,0.0367,1,0.0166
5Z7ygHQo02SUrFmcgpwsKW,afrobeat,Wild Ones (feat. Sia),Flo Rida,54,0.45,0.889,0.624,0.101,127.019,0.0504,0,0.0
0IUYTmVDq3tmohilYghzt5,afrobeat,Bikowa,Orchestra Baobab,0,0.792,0.534,0.585,0.631,81.78,0.0331,1,0.000193
5jnfrHIeTAWw5SaRiiyhAW,afrobeat,Jho Avido,Various Artists,0,0.723,0.319,0.654,0.834,91.473,0.0354,1,2.21e-05
1r8V85iUIeGJ5LOFcYbyEo,afrobeat,Umhome,Miriam Makeba,0,0.561,0.0278,0.468,0.931,132.05,0.0705,1,0.0
6i2YA4WM3FqwyO7UX7XWbx,afrobeat,Zumba,Don Omar,0,0.838,0.9,0.728,0.00211,125.0,0.0394,1,0.0175
68eJ1PhtTYkMCl7oYxZW3H,afrobeat,Ekuro,DaVido,0,0.496,0.825,0.639,0.0149,122.69,0.123,1,0.0
3gSb5v1yMCWJ9hah3hMdmf,afrobeat,Ada Owerri,Various Artists,0,0.906,0.611,0.55,0.337,108.353,0.136,1,2.09e-05
4Az4FAhbPQ8PcT7BtuCfJh,alt-rock,Only Run,Clap Your Hands Say Yeah,0,0.196,0.84,0.449,0.268,153.333,0.0581,0,0.0138
27Is8BxjvkFMyY4knZFpjZ,alt-rock,Transparent Lines,Elf Power,4,0.586,0.868,0.602,0.122,123.948,0.0689,0,0.316
7u3iTAPPMwSGI2Qba88Qfy,alt-rock,The Old And The Young,Midlake,0,0.276,0.783,0.608,0.163,123.157,0.0344,0,0.792
0AHLmGeECGsB8oZT4mMFF1,alt-rock,Longtime Sunshine,Rivers Cuomo,33,0.156,0.436,0.591,0.234,75.569,0.0253,1,0.00258
7C7gszJBmB2ODqFyBsJkIb,alt-rock,Entertain,Sleater-Kinney,0,0.327,0.943,0.359,0.0126,144.44,0.0743,0,0.00235
